Pos,Tm,Player,Age,Height,Weight,Hand,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
C PF PG SF SG,ATL BOS BRK CHI CHO CLE DAL DEN DET GSW HOU IND LAC LAL MEM MIA MIL MIN NOP NYK OKC ORL PHI PHO POR SAC SAS TOR UTA WAS,string,continuous,continuous,continuous,L R,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,
PG,DAL,Luka Dončić,23.0,201.0,104.0,R,0.351,0.578,0.730,9.0,8.8,1.6,0.6,3.7,2.9,33.8
C,PHI,Joel Embiid,28.0,213.0,127.0,R,0.347,0.567,0.858,9.8,4.3,1.1,1.7,3.7,3.4,33.4
PF,MIL,Giannis Antetokounmpo,28.0,213.0,109.0,R,0.245,0.569,0.653,11.9,5.3,0.8,0.9,4.0,3.5,31.0
PG,OKC,Shai Gilgeous-Alexander,24.0,198.0,81.0,R,0.352,0.528,0.913,4.8,5.6,1.7,1.1,3.2,2.7,30.7
PF,BOS,Jayson Tatum,24.0,203.0,95.0,R,0.345,0.559,0.862,8.2,4.3,1.0,0.8,2.6,2.1,30.6
PF,BRK,Kevin Durant,34.0,208.0,108.0,R,0.376,0.622,0.934,6.7,5.3,0.8,1.5,3.5,2.4,29.7
PF,LAL,LeBron James,38.0,206.0,113.0,R,0.285,0.595,0.747,8.4,6.8,1.0,0.5,3.3,1.7,29.0
SG,CLE,Donovan Mitchell,26.0,185.0,97.0,R,0.396,0.563,0.868,3.9,4.9,1.5,0.3,2.9,2.5,28.8
PG,POR,Damian Lillard,32.0,188.0,88.0,R,0.359,0.552,0.885,3.9,7.1,0.9,0.3,3.3,1.9,28.5
PG,ATL,Trae Young,24.0,185.0,74.0,R,0.326,0.475,0.894,2.8,9.8,0.8,0.2,3.8,1.5,27.5
PG,MEM,Ja Morant,23.0,190.0,78.0,R,0.313,0.517,0.751,5.8,7.9,1.0,0.3,3.6,1.7,27.4
SF,BOS,Jaylen Brown,26.0,198.0,101.0,R,0.329,0.595,0.795,7.1,3.2,1.1,0.5,3.1,2.8,27.2
SF,CHI,DeMar DeRozan,33.0,198.0,99.0,R,0.271,0.526,0.887,5.0,4.9,1.0,0.5,2.0,2.7,26.1
PG,BRK,Kyrie Irving,30.0,188.0,88.0,R,0.362,0.577,0.902,4.8,4.8,0.8,0.8,2.2,2.6,26.0
C,TOR,Pascal Siakam,28.0,206.0,104.0,R,0.343,0.516,0.779,8.2,6.4,0.8,0.5,2.6,3.3,25.7
C,DEN,Nikola Jokić,27.0,211.0,128.0,R,0.375,0.661,0.812,11.0,9.7,1.4,0.6,3.4,2.8,24.9
SF,UTA,Lauri Markkanen,25.0,213.0,108.0,R,0.413,0.604,0.869,8.6,1.9,0.6,0.6,1.9,2.1,24.6
PF,NYK,Julius Randle,28.0,203.0,113.0,L,0.338,0.545,0.747,10.4,3.8,0.7,0.4,2.7,3.0,24.1
SG,MIN,Anthony Edwards,21.0,193.0,102.0,R,0.359,0.521,0.761,6.0,4.4,1.6,0.5,3.2,2.7,23.8
PG,SAC,De'Aaron Fox,25.0,190.0,83.0,L,0.337,0.570,0.800,4.4,6.1,0.9,0.4,2.7,2.4,23.8
SG,CHI,Zach LaVine,27.0,196.0,90.0,R,0.392,0.519,0.840,4.5,4.3,1.0,0.2,2.5,2.2,23.8
PG,NYK,Jalen Brunson,26.0,185.0,86.0,L,0.393,0.501,0.856,3.6,6.5,1.0,0.2,2.1,2.3,22.2
SG,POR,Anfernee Simons,23.0,190.0,82.0,R,0.377,0.524,0.902,2.9,4.1,0.8,0.3,2.2,2.5,22.0
C,WAS,Kristaps Porziņģis,27.0,221.0,108.0,R,0.341,0.540,0.811,8.9,2.3,1.0,1.5,2.2,2.9,21.9
PF,POR,Jerami Grant,28.0,203.0,95.0,R,0.420,0.534,0.792,4.3,2.6,0.9,0.8,1.9,2.4,21.8
PF,WAS,Kyle Kuzma,27.0,206.0,100.0,R,0.339,0.547,0.723,7.4,3.9,0.5,0.4,3.0,2.5,21.7
C,MIA,Bam Adebayo,25.0,206.0,115.0,R,0.100,0.545,0.802,10.1,3.1,1.1,0.8,2.7,3.0,21.5
SG,HOU,Jalen Green,20.0,193.0,80.0,R,0.326,0.465,0.793,4.3,3.6,0.8,0.2,2.9,1.7,21.5
PF,ORL,Paolo Banchero,20.0,208.0,113.0,R,0.310,0.484,0.754,6.8,3.8,1.1,0.5,2.9,2.4,21.2
PF,DET,Bojan Bogdanović,33.0,201.0,102.0,R,0.415,0.535,0.885,3.6,2.8,0.6,0.1,2.3,1.8,21.2
SG,MIA,Tyler Herro,23.0,196.0,88.0,R,0.392,0.500,0.918,6.0,4.4,1.0,0.3,2.6,1.8,21.2
SF,SAS,Keldon Johnson,23.0,196.0,99.0,R,0.344,0.480,0.773,4.7,2.6,0.7,0.2,2.2,1.9,21.2
SG,NOP,CJ McCollum,31.0,190.0,86.0,R,0.403,0.457,0.785,4.7,5.9,1.0,0.6,2.6,1.7,21.2
SG,UTA,Jordan Clarkson,30.0,193.0,87.0,R,0.350,0.540,0.817,4.2,4.4,0.5,0.2,2.9,2.0,21.1
PG,CLE,Darius Garland,23.0,185.0,87.0,R,0.393,0.482,0.860,2.7,7.7,1.2,0.1,3.2,2.1,21.1
SG,CHO,Terry Rozier,28.0,185.0,86.0,R,0.325,0.475,0.841,4.2,5.2,0.7,0.2,2.5,1.9,21.0
PG,GSW,Jordan Poole,23.0,193.0,87.0,R,0.311,0.544,0.865,2.5,4.5,0.7,0.2,3.5,2.4,20.9
SG,GSW,Klay Thompson,32.0,198.0,97.0,R,0.388,0.462,0.889,3.9,2.5,0.6,0.5,1.7,2.1,20.7
SF,ORL,Franz Wagner,21.0,206.0,102.0,R,0.361,0.548,0.852,3.9,3.4,0.9,0.2,2.1,2.3,20.3
PG,IND,Tyrese Haliburton,22.0,196.0,83.0,R,0.399,0.558,0.880,4.0,10.2,1.8,0.4,2.6,1.1,20.2
SG,ATL,Dejounte Murray,26.0,193.0,81.0,R,0.345,0.488,0.843,5.5,6.1,1.7,0.3,2.4,1.5,20.2
SF,CHO,Kelly Oubre Jr.,27.0,201.0,92.0,L,0.308,0.503,0.714,5.1,1.2,1.6,0.4,1.3,3.0,20.2
SG,NYK,RJ Barrett,22.0,198.0,97.0,L,0.332,0.476,0.759,5.5,2.9,0.5,0.2,2.4,2.4,19.9
PG,HOU,Kevin Porter Jr.,22.0,193.0,92.0,L,0.346,0.501,0.766,5.5,5.6,1.3,0.4,3.6,2.7,19.2
C,SAC,Domantas Sabonis,26.0,211.0,108.0,L,0.388,0.640,0.745,12.5,7.1,0.8,0.5,2.6,3.6,18.9
PG,DEN,Jamal Murray,25.0,190.0,97.0,R,0.389,0.484,0.803,4.0,5.3,0.9,0.2,2.1,1.3,18.6
PG,MIL,Jrue Holiday,32.0,190.0,92.0,R,0.372,0.504,0.863,4.9,7.3,1.4,0.4,3.2,1.9,18.3
SG,TOR,Gary Trent Jr.,24.0,196.0,94.0,R,0.356,0.513,0.831,2.3,1.5,1.7,0.2,1.0,1.7,18.2
C,DAL,Christian Wood,27.0,208.0,97.0,R,0.394,0.630,0.731,8.2,1.6,0.5,1.3,2.1,2.9,18.2
SF,TOR,OG Anunoby,25.0,201.0,105.0,R,0.365,0.524,0.825,5.8,2.1,2.2,0.8,2.3,3.2,18.1
SF,IND,Buddy Hield,30.0,193.0,99.0,R,0.424,0.500,0.875,4.9,2.6,1.0,0.3,1.8,2.0,18.0
PG,TOR,Fred VanVleet,28.0,185.0,89.0,R,0.325,0.433,0.882,4.3,6.3,1.5,0.5,1.7,2.8,17.7
C,PHO,Deandre Ayton,24.0,211.0,113.0,R,0.318,0.593,0.728,9.9,2.1,0.5,0.7,2.1,2.8,17.3
SF,IND,Bennedict Mathurin,20.0,198.0,95.0,R,0.333,0.471,0.809,3.9,1.4,0.6,0.1,1.9,2.0,17.3
PG,MIN,D'Angelo Russell,26.0,193.0,87.0,L,0.362,0.551,0.853,3.1,6.2,1.1,0.4,2.7,2.3,17.0
C,IND,Myles Turner,26.0,211.0,113.0,R,0.379,0.642,0.784,7.9,1.5,0.6,2.3,1.7,3.3,17.0
C,CHI,Nikola Vučević,32.0,208.0,117.0,R,0.377,0.595,0.830,10.9,3.1,0.6,0.9,1.8,2.1,16.9
SF,MEM,Dillon Brooks,27.0,201.0,102.0,R,0.335,0.449,0.788,3.5,2.7,0.8,0.2,1.7,3.4,16.7
PF,DEN,Aaron Gordon,27.0,203.0,106.0,R,0.376,0.656,0.643,6.8,2.4,0.9,0.8,1.6,1.8,16.5
PG,DAL,Spencer Dinwiddie,29.0,196.0,97.0,R,0.407,0.525,0.831,3.0,5.1,0.8,0.3,1.7,2.3,16.3
PF,PHI,Tobias Harris,30.0,203.0,102.0,R,0.381,0.569,0.868,6.3,2.6,1.1,0.6,1.3,2.1,16.3
SG,SAC,Kevin Huerter,24.0,201.0,86.0,R,0.420,0.576,0.728,3.3,2.9,1.1,0.3,1.6,2.7,15.8
SF,PHO,Mikal Bridges,26.0,198.0,94.0,R,0.396,0.494,0.888,4.6,3.3,1.1,0.9,1.3,2.2,15.7
SG,OKC,Josh Giddey,20.0,203.0,95.0,R,0.342,0.514,0.814,8.0,5.6,0.7,0.5,3.1,2.1,15.7
SF,ATL,De'Andre Hunter,25.0,203.0,102.0,R,0.377,0.489,0.821,4.4,1.2,0.5,0.2,1.3,3.0,15.6
SG,LAC,Norman Powell,29.0,190.0,97.0,R,0.389,0.526,0.773,2.9,1.7,0.8,0.4,1.7,2.0,15.6
PG,LAL,Russell Westbrook,34.0,190.0,90.0,R,0.293,0.466,0.671,6.4,7.8,1.0,0.5,3.6,2.4,15.4
PF,TOR,Scottie Barnes,21.0,206.0,102.0,R,0.286,0.504,0.775,7.0,4.8,1.0,0.8,2.1,2.0,15.1
PF,CHO,P.J. Washington,24.0,201.0,104.0,R,0.359,0.498,0.798,4.6,2.3,0.8,1.1,1.5,2.7,15.1
SG,DET,Jaden Ivey,20.0,193.0,88.0,R,0.327,0.452,0.724,4.1,4.2,1.0,0.2,2.8,3.0,15.0
PF,SAC,Harrison Barnes,30.0,203.0,102.0,R,0.356,0.587,0.823,5.1,1.7,0.9,0.1,1.2,1.3,14.9
SG,LAL,Lonnie Walker IV,24.0,193.0,92.0,R,0.384,0.515,0.875,2.3,1.4,0.8,0.3,1.0,1.7,14.7
C,POR,Jusuf Nurkić,28.0,211.0,131.0,R,0.397,0.568,0.673,10.2,2.9,0.9,1.0,2.6,3.7,14.6
C,NOP,Jonas Valančiūnas,30.0,211.0,120.0,R,0.351,0.570,0.843,9.7,1.8,0.3,0.5,2.0,3.0,14.5
C,MIL,Brook Lopez,34.0,213.0,127.0,R,0.392,0.590,0.778,6.5,1.2,0.5,2.5,1.4,2.4,14.4
PF,CLE,Evan Mobley,21.0,213.0,97.0,R,0.196,0.591,0.692,8.8,2.7,0.8,1.3,2.0,2.8,14.4
C,HOU,Alperen Şengün,20.0,206.0,106.0,R,0.200,0.576,0.773,8.6,2.9,0.8,0.9,2.2,3.4,14.4
SG,UTA,Collin Sexton,24.0,185.0,86.0,R,0.395,0.525,0.835,2.2,2.9,0.6,0.1,1.7,2.3,14.2
SF,DET,Saddiq Bey,23.0,201.0,97.0,R,0.326,0.466,0.854,4.3,1.5,0.9,0.2,1.1,1.6,14.1
PG,BOS,Malcolm Brogdon,30.0,196.0,103.0,R,0.452,0.509,0.890,4.1,3.8,0.6,0.2,1.6,1.4,14.1
SG,DAL,Tim Hardaway Jr.,30.0,196.0,92.0,R,0.361,0.445,0.792,3.2,1.5,0.8,0.1,0.9,1.6,14.0
SG,SAC,Malik Monk,24.0,190.0,90.0,R,0.327,0.552,0.907,2.4,3.9,0.6,0.2,1.9,1.6,14.0
PF,MIL,Bobby Portis,27.0,208.0,113.0,R,0.322,0.570,0.813,10.0,1.8,0.5,0.3,1.2,1.7,14.0
SG,OKC,Luguentz Dort,23.0,190.0,97.0,R,0.336,0.458,0.755,4.1,2.3,1.1,0.3,1.5,3.2,13.9
SG,UTA,Malik Beasley,26.0,193.0,84.0,R,0.358,0.492,0.854,3.5,1.7,0.9,0.2,1.0,1.3,13.8
SG,DET,Alec Burks,31.0,198.0,97.0,R,0.444,0.475,0.810,3.0,2.2,0.8,0.2,1.2,2.1,13.8
